epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,7364.36,1.68865,1.45041,0.00301,0.54205,0.45659,0.4594,0.27636,1.54748,1.41274,0.00415,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318,0.00954,0.00318
33,7592.21,1.68522,1.44502,0.00302,0.54483,0.45557,0.45961,0.27663,1.54616,1.4126,0.00415,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296,0.00888,0.00296
34,7820.16,1.6794,1.43402,0.003,0.54557,0.4557,0.4595,0.27652,1.54582,1.40858,0.00415,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
35,8048.68,1.67938,1.43036,0.00299,0.54705,0.4549,0.46039,0.27709,1.54577,1.40537,0.00415,0.00756,0.00252,0.00756,0.00252,0.00756,0.00252,0.00756,0.00252
36,8266.26,1.62225,1.36704,0.00324,0.55162,0.4545,0.46078,0.27789,1.54543,1.40341,0.00414,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023,0.0069,0.0023
37,8479.85,1.61013,1.34505,0.0032,0.55088,0.45546,0.46196,0.27875,1.54433,1.40245,0.00414,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
38,8693.21,1.60343,1.33052,0.00319,0.55323,0.45315,0.46184,0.27834,1.54479,1.40053,0.00414,0.00558,0.00186,0.00558,0.00186,0.00558,0.00186,0.00558,0.00186
39,8907.16,1.5986,1.3185,0.00317,0.55299,0.45456,0.46248,0.27877,1.54535,1.39847,0.00413,0.00492,0.00164,0.00492,0.00164,0.00492,0.00164,0.00492,0.00164
40,9120.69,1.59423,1.30966,0.00315,0.55486,0.45622,0.46266,0.27869,1.54525,1.39766,0.00413,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
41,9333.75,1.58752,1.30188,0.00312,0.55576,0.45483,0.46301,0.27892,1.54507,1.39644,0.00413,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012,0.0036,0.0012
42,9546.97,1.58509,1.29013,0.00312,0.55847,0.45509,0.46386,0.27943,1.54481,1.39562,0.00413,0.00294,0.00098,0.00294,0.00098,0.00294,0.00098,0.00294,0.00098
43,9759.96,1.5802,1.28467,0.00311,0.55742,0.45499,0.46415,0.27981,1.54518,1.39439,0.00413,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
44,9973.46,1.57577,1.26994,0.00309,0.5562,0.45573,0.46424,0.27972,1.54574,1.39332,0.00413,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054,0.00162,0.00054
45,10186.1,1.56759,1.26885,0.00308,0.55771,0.45529,0.46475,0.28007,1.54617,1.39289,0.00413,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
