AP,AP50,AP75,APs,APm,APl,n_images,condition,ignore_policy,n_detections,det_per_image,pre_ms_avg,pre_ms_p95,infer_ms_avg,infer_ms_p50,infer_ms_p95,post_ms_avg,post_ms_p95,total_ms_avg,wall_s,AP_retention,APs_retention,model,model_sha256_16,backend,imgsz,conf_thres,iou_thres,tag,AP_pedestrian,AP_people,AP_bicycle,AP_car,AP_van,AP_truck,AP_tricycle,AP_awning-tricycle,AP_bus,AP_motor
0.1714039261140628,0.30078074403052785,0.1654037273287273,0.07558654165103292,0.2591224418240867,0.3642697825925012,548,clean,mask,139593,254.7317518248175,5.757929197679117,8.344829996349286,49.52322864963632,45.87225001887418,75.36209998943374,20.030512773800627,40.39956003252882,75.31167062111606,117.48906930000521,1.0,1.0,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.1396330225315506,0.08152816213890944,0.025384094032959846,0.49158334004213805,0.20726458517726326,0.18893640722970725,0.10587125945989677,0.05172008447332893,0.2808049177652744,0.14131338828959955
0.14020728729417573,0.24945391619108176,0.13553113688151097,0.059067442403045206,0.2001008435614394,0.24096534231330347,548,rain_light,mask,149419,272.6624087591241,4.917833576170918,6.061195014626719,46.414767517636015,44.86685001756996,57.153044993174255,27.060257481350767,52.34656000975517,78.3928585751577,145.61170519998996,0.8179934408321143,0.7814544906121926,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.09866081901573918,0.05616240636099723,0.015781544836537962,0.45597643453856823,0.1821261392494753,0.15707664633691132,0.06869105225258927,0.04506619224205604,0.22514854945999468,0.09738308864888835
0.08895716792555097,0.16692796016333986,0.08377467142738153,0.03871978416552706,0.12121740209891872,0.1281368799814984,548,rain_medium,mask,152104,277.5620437956204,4.880222626711093,6.0093800158938375,45.502824635847375,45.1150499866344,51.24615503300446,29.708748176459387,57.978464994812384,80.09179543901786,149.85580349998781,0.5189914253559942,0.5122576495732285,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.045424283239482534,0.034433294675684026,0.0034256880026609362,0.36935892282334004,0.10876899139333687,0.06740909369908848,0.035866227145278,0.017240394748416682,0.15979478767961425,0.04784999584860801
0.02950167603706016,0.06344206405666156,0.02432487195600628,0.01492706141332931,0.03986920169626319,0.0310415631249258,548,rain_heavy,mask,153336,279.81021897810217,5.271254378956416,6.856549979420379,47.671591970741574,46.326649986440316,58.466905023669824,37.10856606009464,78.3694649930112,90.05141240979262,163.01788250001846,0.172117854625033,0.19748305832332425,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.010851997481933806,0.011196501938323982,0.0006283320639756284,0.1698579231207869,0.020602440684627625,0.005785648516145805,0.008350428292959915,0.0016040854255497863,0.05199497404983351,0.014144428796464655
0.15925526102464094,0.27849902707405627,0.15529352531782226,0.06723373920725362,0.23756892072156635,0.35252938042762877,548,bright_down,mask,139615,254.77189781021897,5.743007299156322,7.4981650162953875,46.73014142415418,46.092099975794554,52.96510497282725,19.296011498094245,38.19135499943513,71.76916022140475,112.98521730001085,0.9291225973357379,0.8894935227709925,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.12210774326456834,0.0739644438830837,0.020362393898335017,0.4781464452544542,0.19035586034027988,0.16332435588419678,0.09152531196507495,0.041235986860475964,0.283763678807799,0.1277663900881415
0.14801922675804446,0.25886963452581013,0.14504714257834622,0.0620624491729933,0.22036624470658953,0.3250965870627105,548,bright_down_heavy,mask,140198,255.83576642335765,5.562298540404087,7.0740100229159,46.31221697204339,45.84844998316839,53.871234980761066,18.95138230032447,39.68400000303517,70.82589781277194,112.80910489999224,0.8635696399366214,0.8210780360811123,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.10937794997095693,0.06692338215626864,0.015679449046926665,0.46256056308451754,0.173521172565003,0.14876743615248203,0.07872833959136541,0.03475642049498571,0.2740717018414228,0.11580585267651622
0.16689086297689715,0.2948588466252052,0.1609960711356982,0.07457610147330798,0.25405145346242586,0.34761618997735866,548,bright_up,mask,141468,258.15328467153284,5.340319708708579,6.6232949699042365,45.21931332069106,44.816200010245666,50.77893002307974,20.22458065777463,38.24520000780466,70.78421368717426,111.74417000001995,0.9736700130534794,0.9866320094073106,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.13722840756562854,0.08067287270550025,0.024840383063611308,0.483395838917965,0.1959728112541414,0.17954274538458453,0.10819090227948067,0.0473067236545736,0.27508541133779646,0.13667253360569
0.16020234238925393,0.2793772467068793,0.1547563528019625,0.06738023528737135,0.24887203499771335,0.3583376506023661,548,blur_light,mask,136904,249.82481751824818,5.308454380099607,6.461044974275865,45.61913905087026,45.465100003639236,50.297159963520244,17.54462226142301,35.29718000791034,68.47221569239288,121.92040349997114,0.9346480329898941,0.8914316466342864,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.11624781884221258,0.07568736275288598,0.020683566157670377,0.4818023626639786,0.18968186441630597,0.17410461037497485,0.09130462751715893,0.03933052310781242,0.2866055166065302,0.12657517145300926
0.12541917387872387,0.22297766014480686,0.12405832805180331,0.04499035265493235,0.19746266481017496,0.3430771881415427,548,blur_medium,mask,139125,253.87773722627736,5.308223357292429,6.566209997981787,45.42502737179208,44.892450008774176,50.17783998919185,17.38262226170755,33.90791497076861,68.11587299079206,116.8417454000446,0.7317170424396356,0.5952164455762945,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.07444024118470273,0.05468284889799979,0.011923045734016587,0.42725876972646243,0.14141470763615316,0.1296767808232924,0.05237348523895059,0.026666651603579374,0.25358267484493513,0.08217253309714631
0.16183888552538922,0.2852885956533004,0.15489631904680434,0.07187563992685196,0.24471573344257397,0.32580216010631946,548,fog_medium,mask,142760,260.5109489051095,5.432567151304144,8.258904967806302,54.48522116758616,48.904549970757216,84.53196499613112,23.833144344406435,46.12187499296851,83.75093266329674,204.22834059997695,0.9441959072611417,0.9509052584875043,yolov8n_visdrone_640.onnx,7d7d717d8fcf7bc0,onnxruntime-cpu,640,0.001,0.65,host-cpu-full,0.1319092719836418,0.07777806136368383,0.020941884654034834,0.4798997950597932,0.19291089464396877,0.17944728817010486,0.09683054178139898,0.04185217370694873,0.26980810100674996,0.1270108428835675
