precision,harness,perf_profile,inference_ms_median,inference_ms_min,inference_ms_max,n_runs,fixed_cost_ms,detections_conf025,score_max,cls_corr_vs_host_fp32,device,device_serial,soc,qnn_version,artifact,artifact_source,measured_by,note
fp16,qnn-net-run --num_inferences (5 vs 105 differenced),burst,39.84,38.88,41.35,5,~530,135,0.85889,0.99972,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,fp16.bin,AI Hub compile job j5w4kzomg,on-board,end-to-end harness: includes host<->DSP tensor marshalling; NOT comparable to AI Hub compute-only
w8a8,qnn-net-run --num_inferences (5 vs 105 differenced),burst,21.18,16.78,22.49,5,~550,0,0.0,n/a,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,w8a8.bin,AI Hub compile job jp81nrvq5,on-board,classification head collapse reproduced on the real board
fp16,qnn-net-run --use_native_input_files,burst,40.31,40.31,40.31,1,520,,,,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,fp16.bin,AI Hub compile job j5w4kzomg,on-board,native fp16 input: no speedup => host dtype conversion is not the bottleneck
w8a8,qnn-net-run --use_native_input_files,burst,21.14,21.14,21.14,1,551,,,,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,w8a8.bin,AI Hub compile job jp81nrvq5,on-board,native uint8 input: no speedup
fp16,qnn-net-run --num_inferences,default,38.70,38.70,38.70,1,634,,,,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,fp16.bin,AI Hub compile job j5w4kzomg,on-board,perf_profile sweep
fp16,qnn-net-run --num_inferences,balanced,39.05,39.05,39.05,1,641,,,,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,fp16.bin,AI Hub compile job j5w4kzomg,on-board,perf_profile sweep
fp16,qnn-net-run --num_inferences,high_performance,39.35,39.35,39.35,1,641,,,,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,fp16.bin,AI Hub compile job j5w4kzomg,on-board,perf_profile sweep
fp16,qnn-net-run --num_inferences,sustained_high_performance,38.87,38.87,38.87,1,558,,,,QCS8550 dev board (physical),172.18.50.11:5555,kalama,v2.45.0.260326154327,fp16.bin,AI Hub compile job j5w4kzomg,on-board,perf_profile sweep
