box_max,box_min,conf_corr_vs_fp32,conf_max,mean_wh,n_above_thres,n_box_valid,path,precision,usable
831.731201171875,-34.44032287597656,1.0,0.878736138343811,26.4x21.5,264,264,v26n-base-noe2e.onnx,fp32,yes
828.1044921875,-1.304107666015625,0.0,0.0,-,0,0,model.onnx,w8a8,NO - conf sap ve 0
828.00537109375,-21.731643676757812,0.99919,0.8768433928489685,26.4x21.5,260,260,model.onnx,w8a16,yes
