backend,providers_active,imgsz,status,n_nodes_total,n_nodes_fallback,infer_ms_avg,infer_ms_p50,infer_ms_p95,iters,n_candidates,post_ms_avg,post_ms_p50,post_ms_p95,total_ms_avg,fps_est,model,tag
onnxruntime-cpu,CPUExecutionProvider,640,ok,231,0,47.95248333345322,46.971999981906265,52.66992000979371,60,50,1.9216000102460384,1.8394500366412103,2.6065949932672083,49.87408334369926,20.05049382278688,yolov8n_visdrone_640.onnx,host-cpu
onnxruntime-cpu,CPUExecutionProvider,640,ok,231,0,47.95248333345322,46.971999981906265,52.66992000979371,60,150,4.205245009507053,4.113100032554939,4.664844970102422,52.157728342960276,19.17261414117875,yolov8n_visdrone_640.onnx,host-cpu
onnxruntime-cpu,CPUExecutionProvider,640,ok,231,0,47.95248333345322,46.971999981906265,52.66992000979371,60,300,9.014934999868274,8.47415000316687,12.678940003388561,56.9674183333215,17.5538935984234,yolov8n_visdrone_640.onnx,host-cpu
onnxruntime-cpu,CPUExecutionProvider,640,ok,231,0,47.95248333345322,46.971999981906265,52.66992000979371,60,600,19.824544998118654,19.55075000296347,22.25642998237163,67.77702833157187,14.754261504471721,yolov8n_visdrone_640.onnx,host-cpu
