model,head,precision,inference_us,peak_mem_mb,ops_npu,ops_total,ops_fallback,n_above_conf025,n_box_valid,mean_wh,conf_max,conf_corr_vs_fp32,usable,quantize_job,compile_job,profile_job,device,qairt,calib
v26n-base,end2end (NMS trong graph),fp32,,,,,,58,58,19.3x18.9,0.9261773824691772,1.0,yes,,,,"QCS8550 (Proxy) - AI Hub, khong phai board lab",,"tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (NMS trong graph),w8a8,2525,101.5,411,411,0,0,0,-,0.0,0.0,NO - conf sap ve 0,jpxxwyljp,jp36yeoxp,jgo8j3d4p,"QCS8550 (Proxy) - AI Hub, khong phai board lab",2.45,"tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (NMS trong graph),w8a16,6732,100.7,411,411,0,60,0,0.0x0.0,0.9250473976135254,0.9995,NO - box sap thanh mot diem,j5m8j30yp,jgo8j3w4p,jpv7jvm7p,"QCS8550 (Proxy) - AI Hub, khong phai board lab",2.45,"tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (NMS trong graph),w16a16,6942,100.6,411,411,0,58,0,0.0x0.0,0.9238647818565369,0.99967,NO - box sap thanh mot diem,jgnkj31vg,j5qvj3d7g,jgllj3qeg,"QCS8550 (Proxy) - AI Hub, khong phai board lab",2.45,"tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
v26n-base,end2end (NMS trong graph),w4a16,7644,101.7,433,433,0,2,0,0.0x0.0,0.3177993595600128,0.97623,NO - box sap thanh mot diem,jprwzexv5,j579qx1rg,jp43zv6l5,"QCS8550 (Proxy) - AI Hub, khong phai board lab",2.45,"tile 2x2 ov0.20, 64 anh, sha f62e17d4e7cd9946"
