frame_id,condition,conf_thres,model,n_det_clean,n_det_degraded,post_ms_clean,post_ms_degraded
71,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,49,5.5302,2.4099
72,rain_heavy,0.25,yolov8n_visdrone_640.onnx,89,57,2.9552,3.1819
73,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,55,3.3553,3.0836
74,rain_heavy,0.25,yolov8n_visdrone_640.onnx,86,55,3.9847,2.3747
75,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,44,3.1945,3.0729
76,rain_heavy,0.25,yolov8n_visdrone_640.onnx,90,55,2.7673,1.8692
77,rain_heavy,0.25,yolov8n_visdrone_640.onnx,91,45,4.317,2.5545
78,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,54,3.1971,2.3227
79,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,46,3.0649,1.6851
80,rain_heavy,0.25,yolov8n_visdrone_640.onnx,105,50,3.0872,1.8718
81,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,48,4.3636,2.2159
82,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,54,4.5659,3.4428
83,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,55,2.9718,2.8793
84,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,51,4.8221,2.71
85,rain_heavy,0.25,yolov8n_visdrone_640.onnx,104,56,3.0157,1.848
86,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,56,3.0444,1.8355
87,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,57,4.7909,2.9257
88,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,46,3.3874,2.4536
89,rain_heavy,0.25,yolov8n_visdrone_640.onnx,103,49,4.3257,2.1024
90,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,52,4.3961,2.7792
91,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,50,3.1869,2.2055
92,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,55,5.0747,2.7435
93,rain_heavy,0.25,yolov8n_visdrone_640.onnx,105,60,3.9091,2.9435
94,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,45,5.8752,2.4685
95,rain_heavy,0.25,yolov8n_visdrone_640.onnx,105,43,4.7956,2.0391
96,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,49,4.5249,2.6606
97,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,45,4.7282,2.5567
98,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,51,3.5519,2.6243
99,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,54,4.7302,2.568
100,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,46,4.5409,2.6791
101,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,51,4.506,1.7333
102,rain_heavy,0.25,yolov8n_visdrone_640.onnx,106,50,4.0483,2.8572
103,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,53,4.614,2.0514
104,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,41,4.3624,2.45
105,rain_heavy,0.25,yolov8n_visdrone_640.onnx,95,48,4.4855,2.6047
106,rain_heavy,0.25,yolov8n_visdrone_640.onnx,99,45,4.8608,2.4818
107,rain_heavy,0.25,yolov8n_visdrone_640.onnx,98,50,2.9273,2.8309
108,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,47,5.7774,2.7862
109,rain_heavy,0.25,yolov8n_visdrone_640.onnx,102,49,3.758,2.3655
110,rain_heavy,0.25,yolov8n_visdrone_640.onnx,103,55,3.1638,2.0656
111,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,44,4.6825,2.4234
112,rain_heavy,0.25,yolov8n_visdrone_640.onnx,100,47,3.7406,2.8334
113,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,58,4.4428,2.3087
114,rain_heavy,0.25,yolov8n_visdrone_640.onnx,96,53,4.0605,2.7286
115,rain_heavy,0.25,yolov8n_visdrone_640.onnx,97,52,3.2726,1.9425
116,rain_heavy,0.25,yolov8n_visdrone_640.onnx,101,53,3.809,2.5589
