precision,inference_us,speedup_vs_fp16,ops_total,ops_npu,ops_fallback,peak_mem_mb,warm_load_us,first_load_us,detections_conf025,score_max,usable,compile_job,profile_job,quantize_job,device,runtime,imgsz,source_model,onnx_sha256_16,calib_n,calib_sha256_16,calib_conditions,measured_by,note
fp16,5087,1.0,246,246,0,106.1,200765,222419,335,0.91686,yes,j5w4kzomg,jg9dr2vm5,,QCS8550 (Proxy),qnn_context_binary,640,yolov8n_visdrone_640.onnx,a6d3e15e5451dc63,64,d80e49589bd7ea0a,clean,qualcomm-ai-hub,compute only; excludes capture/letterbox/NMS/tracking
w8a16,3977,1.28,248,248,0,100.4,199005,0,338,0.92397,yes,,j579m8lqg,j579m82qg,QCS8550 (Proxy),qnn_context_binary,640,yolov8n_visdrone_640.onnx,a6d3e15e5451dc63,64,d80e49589bd7ea0a,clean,qualcomm-ai-hub,compute only; excludes capture/letterbox/NMS/tracking
w8a8,1993,2.55,248,248,0,101.0,199005,0,0,0.0,NO - classification head collapses,jp81nrvq5,jprwrdjk5,jp1691ln5,QCS8550 (Proxy),qnn_context_binary,640,yolov8n_visdrone_640.onnx,a6d3e15e5451dc63,64,d80e49589bd7ea0a,clean,qualcomm-ai-hub,compute only; excludes capture/letterbox/NMS/tracking
