epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,108.313,1.61521,1.92752,1.07104,0.33779,0.30214,0.24801,0.13579,1.51781,1.39508,1.0345,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,209.359,1.56211,1.39288,1.03887,0.3856,0.30393,0.26857,0.14936,1.51498,1.33104,1.03202,0.019328,0.00644268,0.019328,0.00644268,0.019328,0.00644268,0.019328,0.00644268
3,306.254,1.5757,1.36012,1.04818,0.3508,0.31836,0.27563,0.14851,1.51833,1.33384,1.04586,0.0280085,0.00933615,0.0280085,0.00933615,0.0280085,0.00933615,0.0280085,0.00933615
4,402.691,1.56869,1.33625,1.05025,0.38861,0.33382,0.29769,0.16712,1.47659,1.25227,1.02727,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,499.131,1.52657,1.25919,1.03281,0.44728,0.35363,0.34564,0.19411,1.43343,1.16469,1.00858,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,595.88,1.49429,1.21221,1.0206,0.4623,0.36419,0.35559,0.20217,1.4178,1.13412,1.00247,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,692.834,1.46962,1.17456,1.01107,0.4682,0.38467,0.37119,0.21238,1.40545,1.11381,0.9959,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,789.619,1.45717,1.15079,1.00521,0.47473,0.38046,0.37188,0.21077,1.39709,1.10052,0.9936,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,886.509,1.44519,1.1345,1.00283,0.47764,0.39686,0.38851,0.22431,1.36682,1.07627,0.98602,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
